# egm tm, desired joint, input joint, received joint
1549231.00000,4.39265,-4.46443,3.25617
1549235.00000,4.31399,-4.59959,3.16277
1549239.00000,4.23091,-4.73914,3.06611
1549243.00000,4.14349,-4.86660,2.96629
1549247.00000,4.05183,-5.00065,2.86339
1549251.00000,3.95603,-5.12840,2.75753
1549255.00000,3.85617,-5.24922,2.64881
1549259.00000,3.75237,-5.36929,2.53733
1549263.00000,3.64472,-5.48642,2.42319
1549267.00000,3.53334,-5.54826,2.30649
1549271.00000,3.41834,-5.59928,2.18733
1549275.00000,3.29985,-5.65463,2.06581
1549279.00000,3.17797,-5.69452,1.94203
1549283.00000,3.05284,-5.72482,1.81609
1549287.00000,2.92459,-5.75461,1.68809
1549291.00000,2.79334,-5.78584,1.55812
1549295.00000,2.65923,-5.81312,1.42629
1549299.00000,2.52239,-5.83003,1.29270
1549303.00000,2.38298,-5.84316,1.15745
1549307.00000,2.24112,-5.85078,1.02064
1549311.00000,2.09697,-5.85193,0.88239
1549315.00000,1.95067,-5.85406,0.74282
1549319.00000,1.80238,-5.85233,0.60207
1549323.00000,1.65224,-5.84493,0.46028
1549327.00000,1.50041,-5.82692,0.31758
1549331.00000,1.34704,-5.80425,0.17413
1549335.00000,1.19229,-5.77644,0.03010
1549339.00000,1.03632,-5.73988,-0.11435
1549343.00000,0.87929,-5.70098,-0.25906
1549347.00000,0.72136,-5.65029,-0.40384
1549351.00000,0.56270,-5.60688,-0.54850
1549355.00000,0.40345,-5.54586,-0.69287
1549359.00000,0.24379,-5.48419,-0.83676
1549363.00000,0.08389,-5.41791,-0.98000
1549367.00000,-0.07611,-5.34103,-1.12242
1549371.00000,-0.23602,-5.25635,-1.26384
1549375.00000,-0.39570,-5.16489,-1.40411
1549379.00000,-0.55496,-5.07427,-1.54306
1549383.00000,-0.71366,-4.97638,-1.68053
1549387.00000,-0.87163,-4.86530,-1.81638
1549391.00000,-1.02871,-4.74513,-1.95045
1549395.00000,-1.18473,-4.62352,-2.08260
1549399.00000,-1.33955,-4.49005,-2.21269
1549403.00000,-1.49298,-4.36076,-2.34056
1549407.00000,-1.64489,-4.22418,-2.46609
1549411.00000,-1.79512,-4.08799,-2.58913
1549415.00000,-1.94351,-3.95100,-2.70955
1549419.00000,-2.08991,-3.81066,-2.82721
1549423.00000,-2.23416,-3.66519,-2.94200
1549427.00000,-2.37614,-3.51897,-3.05377
1549431.00000,-2.51567,-3.36466,-3.16239
1549435.00000,-2.65263,-3.21634,-3.26776
1549439.00000,-2.78688,-3.06837,-3.36975
1549443.00000,-2.91827,-2.91279,-3.46824
1549447.00000,-3.04668,-2.76426,-3.56312
1549451.00000,-3.17196,-2.60875,-3.65428
1549455.00000,-3.29400,-2.45912,-3.74162
1549459.00000,-3.41266,-2.30229,-3.82505
1549463.00000,-3.52783,-2.15017,-3.90447
1549467.00000,-3.63939,-2.00942,-3.97977
1549471.00000,-3.74722,-1.87626,-4.05089
1549475.00000,-3.85121,-1.74066,-4.11774
1549479.00000,-3.95127,-1.60580,-4.18026
1549483.00000,-4.04727,-1.46846,-4.23838
1549487.00000,-4.13913,-1.26081,-4.29204
1549491.00000,-4.22676,-1.05076,-4.34119
1549495.00000,-4.31005,-0.84061,-4.38579
1549499.00000,-4.38893,-0.62954,-4.42579
1549503.00000,-4.46332,-0.41498,-4.46116
1549507.00000,-4.53314,-0.20569,-4.49188
1549511.00000,-4.59832,0.00599,-4.51795
1549515.00000,-4.65878,0.21409,-4.53936
1549519.00000,-4.71448,0.42695,-4.55612
1549523.00000,-4.76535,0.63265,-4.56824
1549527.00000,-4.81135,0.84051,-4.57574
1549531.00000,-4.85241,1.04562,-4.57864
1549535.00000,-4.88851,1.24951,-4.57697
1549539.00000,-4.91960,1.44991,-4.57072
1549543.00000,-4.94565,1.64959,-4.55993
1549547.00000,-4.96664,1.85112,-4.54460
1549551.00000,-4.98255,2.05931,-4.52473
1549555.00000,-4.99335,2.25856,-4.50034
1549559.00000,-4.99904,2.45014,-4.47143
1549563.00000,-4.99961,2.64251,-4.43802
1549567.00000,-4.99507,2.76041,-4.40009
1549571.00000,-4.98540,2.87169,-4.35765
1549575.00000,-4.97064,2.98385,-4.31072
1549579.00000,-4.95078,3.08290,-4.25929
1549583.00000,-4.92586,3.17472,-4.20336
1549587.00000,-4.89589,3.31600,-4.14297
1549591.00000,-4.86091,3.45500,-4.07814
1549595.00000,-4.82095,3.59022,-4.00892
1549599.00000,-4.77605,3.72328,-3.93534
1549603.00000,-4.72627,3.85429,-3.85747
1549607.00000,-4.67164,3.98531,-3.77540
1549611.00000,-4.61224,4.11498,-3.68919
1549615.00000,-4.54810,4.24167,-3.59893
1549619.00000,-4.47932,4.36490,-3.50475
1549623.00000,-4.40594,4.48942,-3.40676
1549627.00000,-4.32806,4.61179,-3.30510
1549631.00000,-4.24574,4.72133,-3.19991
1549635.00000,-4.15908,4.83586,-3.09132
1549639.00000,-4.06816,4.95401,-2.97949
1549643.00000,-3.97307,5.06152,-2.86456
1549647.00000,-3.87391,5.16651,-2.74668
1549651.00000,-3.77079,5.26844,-2.62603
1549655.00000,-3.66381,5.37044,-2.50275
1549659.00000,-3.55307,5.47213,-2.37702
1549663.00000,-3.43870,5.57320,-2.24897
1549667.00000,-3.32080,5.61730,-2.11876
1549671.00000,-3.19951,5.65453,-1.98652
1549675.00000,-3.07494,5.69385,-1.85239
1549679.00000,-2.94722,5.72221,-1.71649
1549683.00000,-2.81648,5.74932,-1.57896
1549687.00000,-2.68286,5.76806,-1.43992
1549691.00000,-2.54650,5.77903,-1.29950
1549695.00000,-2.40752,5.78849,-1.15782
1549699.00000,-2.26608,5.79112,-1.01500
1549703.00000,-2.12232,5.78858,-0.87115
1549707.00000,-1.97639,5.77950,-0.72641
1549711.00000,-1.82843,5.76740,-0.58090
1549715.00000,-1.67861,5.75079,-0.43475
1549719.00000,-1.52706,5.72450,-0.28809
1549723.00000,-1.37395,5.69863,-0.14107
1549727.00000,-1.21943,5.66468,0.00618
1549731.00000,-1.06366,5.62596,0.15349
1549735.00000,-0.90681,5.57627,0.30072
1549739.00000,-0.74902,5.52388,0.44772
1549743.00000,-0.59047,5.46865,0.59431
1549747.00000,-0.43132,5.40928,0.74034
1549751.00000,-0.27172,5.34277,0.88564
1549755.00000,-0.11184,5.26803,1.03004
1549759.00000,0.04815,5.18917,1.17338
1549763.00000,0.20809,5.10052,1.31550
1549767.00000,0.36781,5.01221,1.45622
1549771.00000,0.52717,4.91896,1.59539
1549775.00000,0.68598,4.81689,1.73286
1549779.00000,0.84409,4.71445,1.86847
1549783.00000,1.00133,4.60454,2.00207
1549787.00000,1.15755,4.48261,2.13353
1549791.00000,1.31258,4.35791,2.26270
1549795.00000,1.46627,4.22850,2.38945
1549799.00000,1.61846,4.09520,2.51364
1549803.00000,1.76899,3.95803,2.63516
1549807.00000,1.91771,3.81894,2.75386
1549811.00000,2.06447,3.68036,2.86964
1549815.00000,2.20911,3.54019,2.98238
1549819.00000,2.35149,3.39674,3.09196
1549823.00000,2.49147,3.24755,3.19826
1549827.00000,2.62889,3.10014,3.30117
1549831.00000,2.76362,2.95394,3.40058
1549835.00000,2.89552,2.80708,3.49639
1549839.00000,3.02446,2.65957,3.58850
1549843.00000,3.15030,2.51755,3.67680
1549847.00000,3.27291,2.37351,3.76119
1549851.00000,3.39217,2.22870,3.84158
1549855.00000,3.50796,2.08710,3.91790
1549859.00000,3.62016,1.94673,3.99005
1549863.00000,3.72865,1.80772,4.05797
1549867.00000,3.83332,1.67849,4.12158
1549871.00000,3.93407,1.55052,4.18081
1549875.00000,4.03079,1.42467,4.23562
1549879.00000,4.12338,1.30192,4.28597
1549883.00000,4.21175,1.18286,4.33180
1549887.00000,4.29581,0.99508,4.37309
1549891.00000,4.37547,0.80714,4.40981
1549895.00000,4.45065,0.61838,4.44194
1549899.00000,4.52127,0.42602,4.46947
1549903.00000,4.58726,0.23494,4.49240
1549907.00000,4.64856,0.04823,4.51074
1549911.00000,4.70509,-0.14472,4.52450
1549915.00000,4.75681,-0.33745,4.53372
1549919.00000,4.80366,-0.52595,4.53843
1549923.00000,4.84559,-0.72132,4.53869
1549927.00000,4.88256,-0.91842,4.53452
1549931.00000,4.91453,-1.11772,4.52600
1549935.00000,4.94146,-1.31794,4.51315
1549939.00000,4.96334,-1.51610,4.49603
1549943.00000,4.98014,-1.71279,4.47467
1549947.00000,4.99183,-1.90716,4.44911
1549951.00000,4.99842,-2.10465,4.41939
1549955.00000,4.99988,-2.30071,4.38555
1549959.00000,4.99623,-2.49110,4.34760
1549963.00000,4.98746,-2.68740,4.30559
1549967.00000,4.97359,-2.81001,4.25953
1549971.00000,4.95462,-2.93011,4.20942
1549975.00000,4.93058,-3.04919,4.15528
1549979.00000,4.90149,-3.15999,4.09712
1549983.00000,4.86738,-3.27082,4.03495
1549987.00000,4.82829,-3.41932,3.96879
1549991.00000,4.78425,-3.55475,3.89869
1549995.00000,4.73532,-3.68596,3.82467
1549999.00000,4.68154,-3.82118,3.74678
1550003.00000,4.62296,-3.95794,3.66506
1550007.00000,4.55965,-4.08459,3.57957
1550011.00000,4.49167,-4.20333,3.49038
1550015.00000,4.41909,-4.31698,3.39758
1550019.00000,4.34199,-4.43393,3.30125
1550023.00000,4.26044,-4.54788,3.20149
1550027.00000,4.17453,-4.66262,3.09840
1550031.00000,4.08435,-4.77087,2.99211
1550035.00000,3.98998,-4.87188,2.88273
1550039.00000,3.89153,-4.97955,2.77040
1550043.00000,3.78909,-5.07158,2.65524
1550047.00000,3.68278,-5.16941,2.53738
1550051.00000,3.57269,-5.25984,2.41697
1550055.00000,3.45894,-5.34635,2.29416
1550059.00000,3.34166,-5.42766,2.16905
1550063.00000,3.22095,-5.50694,2.04179
1550067.00000,3.09694,-5.54860,1.91251
1550071.00000,2.96976,-5.58569,1.78135
1550075.00000,2.83955,-5.62552,1.64842
1550079.00000,2.70642,-5.64825,1.51386
1550083.00000,2.57052,-5.66018,1.37780
1550087.00000,2.43199,-5.68047,1.24037
1550091.00000,2.29097,-5.70295,1.10169
1550095.00000,2.14761,-5.71527,0.96190
1550099.00000,2.00205,-5.72077,0.82111
1550103.00000,1.85443,-5.72393,0.67946
1550107.00000,1.70492,-5.71930,0.53708
1550111.00000,1.55366,-5.70681,0.39410
1550115.00000,1.40081,-5.69530,0.25066
1550119.00000,1.24653,-5.67775,0.10690
1550123.00000,1.09097,-5.65897,-0.03704
1550127.00000,0.93429,-5.62956,-0.18102
1550131.00000,0.77666,-5.59650,-0.32489
1550135.00000,0.61823,-5.55814,-0.46850
1550139.00000,0.45917,-5.51579,-0.61172
1550143.00000,0.29964,-5.46658,-0.75440
1550147.00000,0.13980,-5.40906,-0.89637
1550151.00000,-0.02018,-5.35339,-1.03750
1550155.00000,-0.18014,-5.27993,-1.17762
1550159.00000,-0.33992,-5.21239,-1.31660
1550163.00000,-0.49935,-5.13664,-1.45427
1550167.00000,-0.65827,-5.04922,-1.59050
1550171.00000,-0.81651,-4.95704,-1.72514
1550175.00000,-0.97392,-4.86259,-1.85806
1550179.00000,-1.13033,-4.76282,-1.98914
1550183.00000,-1.28558,-4.65860,-2.11823
1550187.00000,-1.43952,-4.52486,-2.24521
1550191.00000,-1.59198,-4.38538,-2.36996
1550195.00000,-1.74281,-4.24343,-2.49235
1550199.00000,-1.89186,-4.09241,-2.61227
1550203.00000,-2.03897,-3.94379,-2.72959
1550207.00000,-2.18399,-3.78742,-2.84419
1550211.00000,-2.32678,-3.63274,-2.95597
1550215.00000,-2.46718,-3.47462,-3.06482
1550219.00000,-2.60506,-3.31353,-3.17063
1550223.00000,-2.74027,-3.14905,-3.27330
1550227.00000,-2.87268,-2.98415,-3.37272
1550231.00000,-3.00214,-2.81542,-3.46880
1550235.00000,-3.12853,-2.65122,-3.56142
1550239.00000,-3.25172,-2.48611,-3.65048
1550243.00000,-3.37158,-2.31891,-3.73587
1550247.00000,-3.48798,-2.15212,-3.81748
1550251.00000,-3.60081,-1.97971,-3.89522
1550255.00000,-3.70996,-1.81212,-3.96897
1550259.00000,-3.81531,-1.64249,-4.03864
1550263.00000,-3.91675,-1.47385,-4.10414
1550267.00000,-4.01418,-1.33464,-4.16537
1550271.00000,-4.10750,-1.20067,-4.22223
1550275.00000,-4.19662,-1.06863,-4.27466
1550279.00000,-4.28143,-0.93750,-4.32260
1550283.00000,-4.36187,-0.80811,-4.36596
1550287.00000,-4.43784,-0.61858,-4.40469
1550291.00000,-4.50926,-0.42923,-4.43876
1550295.00000,-4.57607,-0.23901,-4.46814
1550299.00000,-4.63819,-0.04750,-4.49280
1550303.00000,-4.69556,0.14619,-4.51272
1550307.00000,-4.74812,0.33866,-4.52787
1550311.00000,-4.79583,0.52695,-4.53828
1550315.00000,-4.83862,0.70886,-4.54396
1550319.00000,-4.87646,0.89879,-4.54493
1550323.00000,-4.90930,1.08001,-4.54121
1550327.00000,-4.93712,1.26047,-4.53284
1550331.00000,-4.95988,1.44312,-4.51985
1550335.00000,-4.97757,1.62349,-4.50227
1550339.00000,-4.99016,1.79907,-4.48014
1550343.00000,-4.99763,1.97259,-4.45351
1550347.00000,-5.00000,2.14631,-4.42241
1550351.00000,-4.99724,2.32555,-4.38690
1550355.00000,-4.98936,2.49634,-4.34705
1550359.00000,-4.97638,2.66035,-4.30289
1550363.00000,-4.95830,2.82778,-4.25447
1550367.00000,-4.93514,2.93155,-4.20183
1550371.00000,-4.90694,3.02603,-4.14502
1550375.00000,-4.87370,3.12404,-4.08408
1550379.00000,-4.83548,3.20958,-4.01907
1550383.00000,-4.79230,3.28654,-3.95005
1550387.00000,-4.74422,3.44291,-3.87707
1550391.00000,-4.69128,3.60142,-3.80020
1550395.00000,-4.63354,3.75711,-3.71949
1550399.00000,-4.57105,3.90754,-3.63501
1550403.00000,-4.50389,4.05802,-3.54685
1550407.00000,-4.43211,4.20749,-3.45508
1550411.00000,-4.35579,4.35393,-3.35981
1550415.00000,-4.27501,4.49793,-3.26115
1550419.00000,-4.18986,4.63633,-3.15923
1550423.00000,-4.10041,4.77824,-3.05416
1550427.00000,-4.00677,4.91788,-2.94608
1550431.00000,-3.90903,5.04299,-2.83513
1550435.00000,-3.80728,5.17549,-2.72143
1550439.00000,-3.70163,5.31039,-2.60511
1550443.00000,-3.59220,5.43346,-2.48631
1550447.00000,-3.47908,5.55112,-2.36515
1550451.00000,-3.36241,5.66965,-2.24174
1550455.00000,-3.24229,5.78079,-2.11623
1550459.00000,-3.11885,5.88979,-1.98873
1550463.00000,-2.99221,6.00134,-1.85935
1550467.00000,-2.86252,6.02402,-1.72819
1550471.00000,-2.72989,6.03976,-1.59535
1550475.00000,-2.59447,6.05787,-1.46092
1550479.00000,-2.45639,6.06162,-1.32498
1550483.00000,-2.31579,6.06469,-1.18760
1550487.00000,-2.17283,6.04533,-1.04887
1550491.00000,-2.02764,6.01951,-0.90886
1550495.00000,-1.88037,5.99117,-0.76768
1550499.00000,-1.73118,5.95887,-0.62540
1550503.00000,-1.58022,5.92000,-0.48212
1550507.00000,-1.42763,5.87544,-0.33795
1550511.00000,-1.27359,5.82829,-0.19299
1550515.00000,-1.11824,5.77516,-0.04736
1550519.00000,-0.96175,5.71513,0.09881
1550523.00000,-0.80427,5.65511,0.24538
1550527.00000,-0.64597,5.58770,0.39220
1550531.00000,-0.48701,5.51698,0.53909
1550535.00000,-0.32754,5.43662,0.68588
1550539.00000,-0.16775,5.35483,0.83238
1550543.00000,-0.00778,5.26908,0.97840
1550547.00000,0.15220,5.17852,1.12373
1550551.00000,0.31202,5.08336,1.26817
1550555.00000,0.47152,4.97939,1.41151
1550559.00000,0.63054,4.87635,1.55354
