# wall time,egm tm, egm seqno, input joint, received joint
1542074113327.00000,1556783.00000,162.00000,2.69247,1.58960
1542074113327.00000,1556787.00000,163.00000,2.68827,1.63450
1542074113357.00000,1556791.00000,164.00000,2.68404,1.67877
1542074113357.00000,1556795.00000,165.00000,2.67977,1.72238
1542074113377.00000,1556799.00000,166.00000,2.67548,1.76529
1542074113377.00000,1556803.00000,167.00000,2.67115,1.80747
1542074113377.00000,1556807.00000,168.00000,2.66679,1.84890
1542074113397.00000,1556811.00000,169.00000,2.66240,1.88954
1542074113397.00000,1556815.00000,170.00000,2.65797,1.92939
1542074113417.00000,1556819.00000,171.00000,2.65352,1.96841
1542074113417.00000,1556823.00000,172.00000,2.64903,2.00659
1542074113417.00000,1556827.00000,173.00000,2.64450,2.04392
1542074113437.00000,1556831.00000,174.00000,2.63995,2.08036
1542074113437.00000,1556835.00000,175.00000,2.63536,2.11593
1542074113457.00000,1556839.00000,176.00000,2.63073,2.15059
1542074113457.00000,1556843.00000,177.00000,2.62608,2.18436
1542074113457.00000,1556847.00000,178.00000,2.62139,2.21720
1542074113477.00000,1556851.00000,179.00000,2.61667,2.24913
1542074113477.00000,1556855.00000,180.00000,2.61191,2.28013
1542074113497.00000,1556859.00000,181.00000,2.60713,2.31021
1542074113497.00000,1556863.00000,182.00000,2.60231,2.33935
1542074113497.00000,1556867.00000,183.00000,2.59745,2.36756
1542074113517.00000,1556871.00000,184.00000,2.59256,2.39484
1542074113517.00000,1556875.00000,185.00000,2.58764,2.42119
1542074113537.00000,1556879.00000,186.00000,2.58269,2.44662
1542074113537.00000,1556883.00000,187.00000,2.57770,2.47113
1542074113547.00000,1556887.00000,188.00000,2.57268,2.49472
1542074113557.00000,1556891.00000,189.00000,2.56762,2.51739
1542074113557.00000,1556895.00000,190.00000,2.56253,2.53916
1542074113577.00000,1556899.00000,191.00000,2.55741,2.56003
1542074113577.00000,1556903.00000,192.00000,2.55225,2.58002
1542074113577.00000,1556907.00000,193.00000,2.54706,2.59912
1542074113597.00000,1556911.00000,194.00000,2.54184,2.61735
1542074113597.00000,1556915.00000,195.00000,2.53658,2.63472
1542074113617.00000,1556919.00000,196.00000,2.53129,2.65125
1542074113617.00000,1556923.00000,197.00000,2.52596,2.66694
1542074113617.00000,1556927.00000,198.00000,2.52060,2.68180
1542074113637.00000,1556931.00000,199.00000,2.51520,2.69586
1542074113647.00000,1556935.00000,200.00000,2.50978,2.70911
1542074113667.00000,1556939.00000,201.00000,2.50431,2.72159
1542074113667.00000,1556943.00000,202.00000,2.49882,2.73329
1542074113667.00000,1556947.00000,203.00000,2.49328,2.74424
1542074113687.00000,1556951.00000,204.00000,2.48772,2.75444
1542074113687.00000,1556955.00000,205.00000,2.48212,2.76392
1542074113707.00000,1556959.00000,206.00000,2.47649,2.77269
1542074113707.00000,1556963.00000,207.00000,2.47082,2.78076
1542074113707.00000,1556967.00000,208.00000,2.46511,2.78815
1542074113727.00000,1556971.00000,209.00000,2.45938,2.79487
1542074113727.00000,1556975.00000,210.00000,2.45360,2.80095
1542074113747.00000,1556979.00000,211.00000,2.44780,2.80639
1542074113747.00000,1556983.00000,212.00000,2.44196,2.81121
1542074113747.00000,1556987.00000,213.00000,2.43608,2.81543
1542074113767.00000,1556991.00000,214.00000,2.43017,2.81907
1542074113767.00000,1556995.00000,215.00000,2.42423,2.82214
1542074113784.00000,1556999.00000,216.00000,2.41825,2.82466
1542074113786.00000,1557003.00000,217.00000,2.41223,2.82664
1542074113788.00000,1557007.00000,218.00000,2.40618,2.82811
1542074113799.00000,1557011.00000,219.00000,2.40010,2.82907
1542074113800.00000,1557015.00000,220.00000,2.39398,2.82954
1542074113814.00000,1557019.00000,221.00000,2.38783,2.82953
1542074113815.00000,1557023.00000,222.00000,2.38164,2.82907
1542074113817.00000,1557027.00000,223.00000,2.37541,2.82816
1542074113829.00000,1557031.00000,224.00000,2.36916,2.82682
1542074113830.00000,1557035.00000,225.00000,2.36286,2.82507
1542074113843.00000,1557039.00000,226.00000,2.35653,2.82292
1542074113844.00000,1557043.00000,227.00000,2.35017,2.82038
1542074113845.00000,1557047.00000,228.00000,2.34377,2.81748
1542074113858.00000,1557051.00000,229.00000,2.33734,2.81421
1542074113859.00000,1557055.00000,230.00000,2.33087,2.81061
1542074113872.00000,1557059.00000,231.00000,2.32437,2.80667
1542074113874.00000,1557063.00000,232.00000,2.31783,2.80241
1542074113875.00000,1557067.00000,233.00000,2.31126,2.79784
1542074113887.00000,1557071.00000,234.00000,2.30465,2.79298
1542074113889.00000,1557075.00000,235.00000,2.29800,2.78784
1542074113908.00000,1557079.00000,236.00000,2.29132,2.78244
1542074113908.00000,1557083.00000,237.00000,2.28461,2.77678
1542074113908.00000,1557087.00000,238.00000,2.27786,2.77087
1542074113928.00000,1557091.00000,239.00000,2.27107,2.76475
1542074113928.00000,1557095.00000,240.00000,2.26425,2.75841
1542074113948.00000,1557099.00000,241.00000,2.25740,2.75186
1542074113948.00000,1557103.00000,242.00000,2.25051,2.74513
1542074113948.00000,1557107.00000,243.00000,2.24358,2.73822
1542074113968.00000,1557111.00000,244.00000,2.23662,2.73113
1542074113968.00000,1557115.00000,245.00000,2.22963,2.72387
1542074113988.00000,1557119.00000,246.00000,2.22259,2.71644
1542074113988.00000,1557123.00000,247.00000,2.21553,2.70886
1542074113988.00000,1557127.00000,248.00000,2.20842,2.70114
1542074114008.00000,1557131.00000,249.00000,2.20129,2.69327
1542074114008.00000,1557135.00000,250.00000,2.19411,2.68528
1542074114028.00000,1557139.00000,251.00000,2.18691,2.67716
1542074114028.00000,1557143.00000,252.00000,2.17966,2.66892
1542074114028.00000,1557147.00000,253.00000,2.17238,2.66058
1542074114048.00000,1557151.00000,254.00000,2.16507,2.65213
1542074114048.00000,1557155.00000,255.00000,2.15772,2.64358
1542074114068.00000,1557159.00000,256.00000,2.15033,2.63495
1542074114068.00000,1557163.00000,257.00000,2.14291,2.62624
1542074114068.00000,1557167.00000,258.00000,2.13546,2.61746
1542074114088.00000,1557171.00000,259.00000,2.12797,2.60861
1542074114098.00000,1557175.00000,260.00000,2.12044,2.59970
1542074114118.00000,1557179.00000,261.00000,2.11288,2.59074
1542074114118.00000,1557183.00000,262.00000,2.10528,2.58172
1542074114118.00000,1557187.00000,263.00000,2.09765,2.57266
1542074114138.00000,1557191.00000,264.00000,2.08998,2.56356
1542074114138.00000,1557195.00000,265.00000,2.08228,2.55443
1542074114162.00000,1557199.00000,266.00000,2.07454,2.54526
1542074114164.00000,1557203.00000,267.00000,2.06677,2.53607
1542074114166.00000,1557207.00000,268.00000,2.05896,2.52685
1542074114177.00000,1557211.00000,269.00000,2.05112,2.51761
1542074114178.00000,1557215.00000,270.00000,2.04324,2.50835
1542074114199.00000,1557219.00000,271.00000,2.03532,2.49907
1542074114199.00000,1557223.00000,272.00000,2.02737,2.48978
1542074114199.00000,1557227.00000,273.00000,2.01939,2.48049
1542074114219.00000,1557231.00000,274.00000,2.01137,2.47118
1542074114219.00000,1557235.00000,275.00000,2.00331,2.46188
1542074114235.00000,1557239.00000,276.00000,1.99522,2.45257
1542074114235.00000,1557243.00000,277.00000,1.98710,2.44327
1542074114235.00000,1557247.00000,278.00000,1.97894,2.43397
1542074114255.00000,1557251.00000,279.00000,1.97074,2.42468
1542074114265.00000,1557255.00000,280.00000,1.96251,2.41540
1542074114278.00000,1557259.00000,281.00000,1.95424,2.40614
1542074114280.00000,1557263.00000,282.00000,1.94594,2.39689
1542074114280.00000,1557267.00000,283.00000,1.93761,2.38765
1542074114300.00000,1557271.00000,284.00000,1.92923,2.37843
1542074114300.00000,1557275.00000,285.00000,1.92083,2.36922
1542074114322.00000,1557279.00000,286.00000,1.91239,2.36004
1542074114322.00000,1557283.00000,287.00000,1.90391,2.35087
1542074114323.00000,1557287.00000,288.00000,1.89540,2.34172
1542074114336.00000,1557291.00000,289.00000,1.88686,2.33260
1542074114337.00000,1557295.00000,290.00000,1.87828,2.32349
1542074114357.00000,1557299.00000,291.00000,1.86966,2.31441
1542074114357.00000,1557303.00000,292.00000,1.86101,2.30535
1542074114357.00000,1557307.00000,293.00000,1.85233,2.29631
1542074114377.00000,1557311.00000,294.00000,1.84361,2.28729
1542074114377.00000,1557315.00000,295.00000,1.83485,2.27829
1542074114397.00000,1557319.00000,296.00000,1.82606,2.26931
1542074114397.00000,1557323.00000,297.00000,1.81724,2.26035
1542074114397.00000,1557327.00000,298.00000,1.80838,2.25142
1542074114417.00000,1557331.00000,299.00000,1.79949,2.24250
1542074114417.00000,1557335.00000,300.00000,1.79057,2.23360
1542074114437.00000,1557339.00000,301.00000,1.78160,2.22472
1542074114437.00000,1557343.00000,302.00000,1.77261,2.21586
