# egm tm, desired joint, input joint, received joint
711040.00000,1.25854,4.44634,0.87229
711044.00000,1.41271,4.33486,1.03014
711048.00000,1.56545,4.21697,1.18733
711052.00000,1.71657,4.07413,1.34353
711056.00000,1.86595,3.93080,1.49851
711060.00000,2.01341,3.78315,1.65205
711064.00000,2.15880,3.63069,1.80396
711068.00000,2.30199,3.47492,1.95402
711072.00000,2.44282,3.31811,2.10202
711076.00000,2.58115,3.16372,2.24779
711080.00000,2.71684,3.00623,2.39116
711084.00000,2.84975,2.84820,2.53196
711088.00000,2.97973,2.68544,2.67004
711092.00000,3.10667,2.52477,2.80525
711096.00000,3.23043,2.36471,2.93742
711100.00000,3.35087,2.20596,3.06642
711104.00000,3.46789,2.04645,3.19209
711108.00000,3.58136,1.89134,3.31428
711112.00000,3.69115,1.73656,3.43284
711116.00000,3.79717,1.58316,3.54765
711120.00000,3.89931,1.43328,3.65861
711124.00000,3.99745,1.28339,3.76560
711128.00000,4.09149,1.13665,3.86851
711132.00000,4.18135,1.01309,3.96721
711136.00000,4.26692,0.89105,4.06162
711140.00000,4.34813,0.77410,4.15165
711144.00000,4.42488,0.66080,4.23721
711148.00000,4.49711,0.55240,4.31820
711152.00000,4.56473,0.36010,4.39454
711156.00000,4.62767,0.16547,4.46620
711160.00000,4.68588,-0.02696,4.53315
711164.00000,4.73929,-0.22607,4.59534
711168.00000,4.78784,-0.42247,4.65271
711172.00000,4.83150,-0.61355,4.70522
711176.00000,4.87020,-0.81311,4.75286
711180.00000,4.90392,-1.01287,4.79562
711184.00000,4.93262,-1.21075,4.83345
711188.00000,4.95627,-1.41057,4.86634
711192.00000,4.97484,-1.61472,4.89427
711196.00000,4.98832,-1.82157,4.91724
711200.00000,4.99670,-2.03097,4.93527
711204.00000,4.99995,-2.23734,4.94830
711208.00000,4.99809,-2.44223,4.95630
711212.00000,4.99111,-2.64501,4.95924
711216.00000,4.97902,-2.85262,4.95711
711220.00000,4.96183,-3.06126,4.94994
711224.00000,4.93956,-3.26445,4.93771
711228.00000,4.91223,-3.47191,4.92044
